Date,Longitude,Latitude,Year,Month,Season,Elevation (m),FIRE_SIZE_HA
2017-04-03,-123.0,51.9,2017,4,Spring,1090.0,0.009
2017-04-04,-123.3,52.1,2017,4,Spring,791.0,1.94
2017-04-04,-117.0,51.3,2017,4,Spring,778.95,0.009
2017-04-05,-120.2,53.3,2017,4,Spring,716.0,0.9
2017-04-09,-123.0,51.9,2017,4,Spring,1090.0,0.266
2017-04-20,-122.6,55.4,2017,4,Spring,1400.0,0.009
2017-04-20,-120.9,49.8,2017,4,Spring,1060.0,0.009
2017-04-21,-122.6,53.4,2017,4,Spring,615.0,0.0
2017-04-22,-127.6,55.4,2017,4,Spring,335.0,7.8
2017-04-29,-121.4,56.2,2017,4,Spring,480.0,3.2
2017-04-30,-123.3,52.1,2017,4,Spring,791.0,0.0
2017-05-02,-119.6,49.9,2017,5,Spring,650.0,0.0
2017-05-03,-120.8,55.8,2017,5,Spring,760.0,0.4
2017-05-03,-119.4,49.1,2017,5,Spring,1067.0,0.0
2017-05-09,-123.6,48.6,2017,5,Spring,138.0,0.0
2017-05-14,-117.7,49.3,2017,5,Spring,449.0,0.009
2017-05-15,-130.0,57.9,2017,5,Spring,890.0,0.009
2017-05-16,-115.7,49.9,2017,5,Spring,853.0,0.009
2017-05-19,-116.1,50.5,2017,5,Spring,894.0,0.3
2017-05-19,-115.6,49.8,2017,5,Spring,929.6,0.009
2017-05-22,-119.4,51.3,2017,5,Spring,884.0,0.009
2017-05-22,-117.2,50.0,2017,5,Spring,1080.0,0.1
2017-05-22,-116.1,50.5,2017,5,Spring,894.0,0.0
2017-05-23,-119.4,50.0,2017,5,Spring,478.5,0.009
2017-05-23,-119.3,52.1,2017,5,Spring,688.9,0.0
2017-05-24,-125.5,54.2,2017,5,Spring,719.0,0.09
2017-05-25,-124.1,48.8,2017,5,Spring,190.5,0.009
2017-05-25,-124.0,49.2,2017,5,Spring,114.0,0.0
2017-05-25,-119.5,50.2,2017,5,Spring,670.0,0.009
2017-05-26,-123.5,48.6,2017,5,Spring,340.0,0.1
2017-05-27,-131.1,57.9,2017,5,Spring,290.0,0.2
2017-05-27,-128.3,54.7,2017,5,Spring,130.0,0.009
2017-05-27,-115.2,49.3,2017,5,Spring,775.0,0.009
2017-05-28,-121.6,49.1,2017,5,Spring,247.0,0.0
2017-05-28,-121.6,49.2,2017,5,Spring,1400.0,0.0
2017-05-30,-127.2,54.8,2017,5,Spring,508.4,0.009
2017-05-31,-127.2,54.8,2017,5,Spring,508.4,0.018
2017-05-31,-124.7,48.9,2017,5,Spring,14.9,0.0
2017-06-01,-121.4,56.2,2017,6,Summer,480.0,0.009
2017-06-01,-116.0,50.1,2017,6,Summer,1190.0,0.2
2017-06-02,-120.9,56.2,2017,6,Summer,704.0227381920964,0.0
2017-06-04,-121.6,55.7,2017,6,Summer,609.6,0.009
2017-06-05,-117.2,49.6,2017,6,Summer,570.0,0.009
2017-06-06,-121.9,52.1,2017,6,Summer,945.0,0.009
2017-06-07,-120.5,55.8,2017,6,Summer,665.0,0.009
2017-06-08,-129.1,59.4,2017,6,Summer,730.0,0.0
2017-06-08,-123.6,48.6,2017,6,Summer,138.0,0.0
2017-06-08,-120.7,50.1,2017,6,Summer,640.0,0.009
2017-06-08,-118.0,49.3,2017,6,Summer,1397.0,1.64
2017-06-08,-115.2,49.7,2017,6,Summer,1051.0,34.14
2017-06-09,-124.0,54.0,2017,6,Summer,638.0,0.0
2017-06-13,-119.5,49.9,2017,6,Summer,347.0,2.0
2017-06-14,-120.6,50.6,2017,6,Summer,1829.0,0.0
2017-06-16,-121.4,49.4,2017,6,Summer,236.0,0.0
2017-06-21,-123.5,48.6,2017,6,Summer,340.0,0.009
2017-06-22,-122.1,52.1,2017,6,Summer,578.0,0.1
2017-06-22,-119.3,50.2,2017,6,Summer,570.0,0.009
2017-06-23,-124.6,49.4,2017,6,Summer,61.3,0.0
2017-06-24,-124.6,49.2,2017,6,Summer,1459.0,14.9
2017-06-25,-123.9,49.5,2017,6,Summer,6.1,0.0
2017-06-25,-123.8,54.2,2017,6,Summer,850.0,3.7
2017-06-25,-121.6,55.7,2017,6,Summer,609.6,0.009
2017-06-25,-120.3,50.3,2017,6,Summer,1311.0,0.009
2017-06-26,-123.7,48.8,2017,6,Summer,38.85,0.0
2017-06-26,-122.9,52.0,2017,6,Summer,1252.0,41.8
2017-06-26,-120.9,52.9,2017,6,Summer,1108.0,1.0
2017-06-26,-119.8,53.1,2017,6,Summer,890.205,0.2
2017-06-26,-119.6,49.5,2017,6,Summer,427.0,0.009
2017-06-27,-117.7,49.3,2017,6,Summer,449.0,0.0
2017-06-28,-116.0,49.6,2017,6,Summer,889.0,0.25
2017-06-30,-121.9,52.1,2017,6,Summer,945.0,0.9
2017-06-30,-120.5,50.7,2017,6,Summer,780.0,0.2
2017-07-01,-126.5,54.0,2017,7,Summer,747.0,0.009
2017-07-01,-116.2,50.7,2017,7,Summer,870.0,0.01
2017-07-01,-114.9,50.1,2017,7,Summer,1647.0,0.009
2017-07-02,-126.4,54.0,2017,7,Summer,1259.0,0.009
2017-07-02,-123.3,49.4,2017,7,Summer,140.0,0.009
2017-07-02,-119.2,50.0,2017,7,Summer,1395.0,0.009
2017-07-02,-118.2,49.0,2017,7,Summer,510.0,0.009
2017-07-02,-117.8,50.7,2017,7,Summer,1570.0,0.009
2017-07-02,-117.7,49.1,2017,7,Summer,513.0,0.076
2017-07-02,-117.5,50.6,2017,7,Summer,991.0,0.009
2017-07-02,-115.3,50.2,2017,7,Summer,1357.0,0.009
2017-07-03,-125.9,53.9,2017,7,Summer,944.0,0.009
2017-07-03,-121.6,49.1,2017,7,Summer,247.0,0.0
2017-07-03,-121.6,49.2,2017,7,Summer,1400.0,0.0
2017-07-03,-121.4,49.4,2017,7,Summer,236.0,0.009
2017-07-03,-121.1,49.6,2017,7,Summer,1230.0,0.009
2017-07-03,-120.5,50.7,2017,7,Summer,780.0,3.0
2017-07-03,-116.1,50.5,2017,7,Summer,894.0,0.009
2017-07-04,-123.7,48.5,2017,7,Summer,180.0,0.0
2017-07-04,-120.5,49.4,2017,7,Summer,855.0,0.009
2017-07-04,-117.5,51.7,2017,7,Summer,1000.0,0.009
2017-07-04,-116.0,50.1,2017,7,Summer,1190.0,0.009
2017-07-05,-123.8,48.5,2017,7,Summer,512.0699999999999,0.1
2017-07-05,-123.6,48.6,2017,7,Summer,138.0,0.009
2017-07-05,-123.1,50.1,2017,7,Summer,688.0,0.0
2017-07-06,-125.2,50.1,2017,7,Summer,17.0,0.0
2017-07-06,-121.4,51.7,2017,7,Summer,1028.45,5711.0
2017-07-06,-121.2,51.5,2017,7,Summer,1158.0,0.0
2017-07-06,-120.1,51.1,2017,7,Summer,390.0,0.0
2017-07-07,-126.6,54.4,2017,7,Summer,601.0,0.0
2017-07-07,-124.5,53.4,2017,7,Summer,1123.675,1.5
2017-07-07,-124.4,53.4,2017,7,Summer,1000.0,0.5
2017-07-07,-123.5,49.5,2017,7,Summer,3.0,0.0
2017-07-07,-123.1,53.8,2017,7,Summer,715.0,0.0
2017-07-07,-123.1,54.7,2017,7,Summer,915.0,0.2
2017-07-07,-122.7,53.9,2017,7,Summer,588.0,0.009
2017-07-07,-122.7,54.5,2017,7,Summer,739.0,0.0
2017-07-07,-122.6,55.4,2017,7,Summer,1400.0,0.0
2017-07-07,-122.4,53.2,2017,7,Summer,855.0,0.0
2017-07-07,-121.8,53.3,2017,7,Summer,1355.0,0.5
2017-07-07,-121.7,52.5,2017,7,Summer,1081.0,0.0
2017-07-07,-120.5,50.5,2017,7,Summer,1300.0,0.0
2017-07-07,-120.2,51.4,2017,7,Summer,680.0,60.0
2017-07-07,-119.3,52.0,2017,7,Summer,2164.0,0.67
2017-07-07,-118.6,51.6,2017,7,Summer,650.0,0.005
2017-07-08,-121.6,49.2,2017,7,Summer,1400.0,0.0
2017-07-08,-120.3,50.3,2017,7,Summer,1311.0,0.0
2017-07-08,-116.1,50.5,2017,7,Summer,894.0,0.009
2017-07-09,-121.6,49.2,2017,7,Summer,1400.0,0.0
2017-07-09,-119.2,50.7,2017,7,Summer,527.0,0.009
2017-07-09,-117.2,49.6,2017,7,Summer,570.0,0.009
2017-07-10,-131.1,57.9,2017,7,Summer,290.0,0.009
2017-07-10,-118.1,49.7,2017,7,Summer,1432.0,0.01
2017-07-10,-117.8,50.7,2017,7,Summer,1570.0,0.009
2017-07-10,-117.6,49.0,2017,7,Summer,418.0,2.0
2017-07-10,-117.5,51.5,2017,7,Summer,780.0,0.04
2017-07-10,-117.5,51.7,2017,7,Summer,1000.0,0.009
2017-07-10,-117.2,49.6,2017,7,Summer,570.0,0.1
2017-07-10,-117.1,51.4,2017,7,Summer,861.0,0.009
2017-07-10,-117.0,50.2,2017,7,Summer,822.8,0.005
2017-07-10,-116.8,51.1,2017,7,Summer,1300.0,0.009
2017-07-11,-120.2,50.6,2017,7,Summer,640.0,0.0
2017-07-11,-119.3,50.2,2017,7,Summer,570.0,0.0
2017-07-12,-124.5,53.4,2017,7,Summer,1123.675,0.009
2017-07-12,-123.6,48.4,2017,7,Summer,288.0,0.009
2017-07-12,-121.4,49.4,2017,7,Summer,236.0,0.0
2017-07-12,-118.8,50.9,2017,7,Summer,335.0,0.009
2017-07-14,-122.7,53.9,2017,7,Summer,588.0,0.0
2017-07-14,-120.1,51.6,2017,7,Summer,396.0,0.0
2017-07-15,-120.5,50.7,2017,7,Summer,780.0,0.0
2017-07-15,-119.4,50.0,2017,7,Summer,501.0,55.0
2017-07-15,-119.1,49.8,2017,7,Summer,1300.0,0.009
2017-07-16,-121.7,51.4,2017,7,Summer,1070.0,0.0
2017-07-16,-120.1,51.1,2017,7,Summer,390.0,0.009
2017-07-16,-120.1,51.6,2017,7,Summer,396.0,0.009
2017-07-16,-119.1,50.4,2017,7,Summer,1572.0,0.0
2017-07-16,-118.3,51.5,2017,7,Summer,757.0,0.2
2017-07-16,-116.1,50.5,2017,7,Summer,894.0,0.02
2017-07-18,-119.5,50.2,2017,7,Summer,670.0,0.009
2017-07-19,-121.7,51.4,2017,7,Summer,1070.0,0.9
2017-07-19,-121.4,49.4,2017,7,Summer,236.0,0.0
2017-07-19,-120.2,50.6,2017,7,Summer,640.0,0.009
2017-07-19,-119.7,50.5,2017,7,Summer,1153.0,0.11
2017-07-19,-119.6,50.8,2017,7,Summer,640.0,0.8
2017-07-19,-118.8,50.7,2017,7,Summer,751.0,0.9
2017-07-20,-121.9,50.7,2017,7,Summer,390.0,1.0
2017-07-20,-120.2,50.6,2017,7,Summer,640.0,0.009
2017-07-20,-119.6,49.5,2017,7,Summer,427.0,0.5
2017-07-20,-119.4,51.3,2017,7,Summer,884.0,0.1
2017-07-20,-118.1,49.2,2017,7,Summer,1552.5,0.003
2017-07-20,-118.1,49.7,2017,7,Summer,1432.0,0.01
2017-07-20,-117.9,51.9,2017,7,Summer,770.0,1.5
2017-07-20,-117.8,50.7,2017,7,Summer,1570.0,0.04
2017-07-20,-117.5,50.6,2017,7,Summer,991.0,0.309
2017-07-20,-117.0,50.6,2017,7,Summer,590.0,0.25
2017-07-20,-116.2,50.8,2017,7,Summer,930.0,0.009
2017-07-21,-120.5,53.4,2017,7,Summer,850.0,0.0
2017-07-22,-122.9,54.9,2017,7,Summer,710.0,0.0
2017-07-23,-124.4,53.4,2017,7,Summer,1000.0,0.0
2017-07-23,-120.8,50.9,2017,7,Summer,1162.0,0.2
2017-07-23,-119.6,50.9,2017,7,Summer,366.0,0.0
2017-07-23,-118.8,50.4,2017,7,Summer,488.0,0.009
2017-07-23,-118.2,51.0,2017,7,Summer,1442.0,0.02
2017-07-25,-124.7,49.4,2017,7,Summer,184.0,0.009
2017-07-25,-121.6,49.2,2017,7,Summer,1400.0,0.009
2017-07-26,-117.4,49.5,2017,7,Summer,779.0,0.1
2017-07-27,-122.5,53.0,2017,7,Summer,494.0,0.009
2017-07-28,-118.8,50.4,2017,7,Summer,488.0,0.0
2017-07-28,-118.8,50.9,2017,7,Summer,335.0,0.009
2017-07-28,-118.6,52.1,2017,7,Summer,574.55,0.0
2017-07-29,-121.7,55.4,2017,7,Summer,665.0,0.0
2017-07-29,-119.6,49.5,2017,7,Summer,427.0,0.009
2017-07-29,-119.6,49.6,2017,7,Summer,454.2,0.2
2017-07-29,-116.8,51.3,2017,7,Summer,1140.0,0.009
2017-07-30,-120.5,50.7,2017,7,Summer,780.0,0.0
2017-07-30,-119.5,49.9,2017,7,Summer,347.0,0.7
2017-07-30,-115.8,50.0,2017,7,Summer,870.0,1032.5
2017-07-31,-119.8,51.6,2017,7,Summer,445.0,0.0
2017-07-31,-117.4,49.1,2017,7,Summer,813.0,0.0
2017-08-02,-125.1,50.3,2017,8,Summer,132.0,0.0
2017-08-02,-122.5,53.0,2017,8,Summer,494.0,0.2
2017-08-02,-117.8,51.8,2017,8,Summer,2438.0,0.001
2017-08-02,-117.2,49.6,2017,8,Summer,570.0,0.009
2017-08-03,-124.8,49.2,2017,8,Summer,163.0,0.009
2017-08-03,-119.7,49.8,2017,8,Summer,345.0,0.009
2017-08-03,-119.6,49.5,2017,8,Summer,427.0,0.26
2017-08-04,-125.5,54.2,2017,8,Summer,719.0,0.0
2017-08-04,-124.8,49.3,2017,8,Summer,21.0,0.1
2017-08-04,-124.6,49.4,2017,8,Summer,61.3,0.009
2017-08-04,-122.5,53.0,2017,8,Summer,494.0,0.9
2017-08-04,-122.1,52.2,2017,8,Summer,940.0,0.009
2017-08-05,-119.2,53.0,2017,8,Summer,944.0,0.0
2017-08-05,-115.7,49.9,2017,8,Summer,853.0,0.09
2017-08-07,-121.8,56.7,2017,8,Summer,938.5,0.0
2017-08-07,-118.6,49.4,2017,8,Summer,1338.0,0.11
2017-08-07,-115.8,49.2,2017,8,Summer,1930.0,0.009
2017-08-07,-115.8,49.3,2017,8,Summer,975.0,0.025
2017-08-07,-115.6,49.6,2017,8,Summer,770.0,0.9
2017-08-07,-115.3,50.2,2017,8,Summer,1357.0,26399.01
2017-08-07,-114.9,50.1,2017,8,Summer,1647.0,0.009
2017-08-08,-115.2,49.7,2017,8,Summer,1051.0,0.7
2017-08-08,-115.1,49.5,2017,8,Summer,1000.5,0.3
2017-08-09,-124.0,49.6,2017,8,Summer,64.0,0.009
2017-08-09,-115.8,49.3,2017,8,Summer,975.0,0.16
2017-08-11,-124.6,49.4,2017,8,Summer,61.3,0.0
2017-08-12,-119.4,50.0,2017,8,Summer,501.0,0.7
2017-08-12,-117.4,50.0,2017,8,Summer,570.0,3.1
2017-08-12,-117.2,49.6,2017,8,Summer,570.0,80.09
2017-08-13,-128.3,55.0,2017,8,Summer,274.0,0.0
2017-08-13,-122.7,50.9,2017,8,Summer,865.0,0.0
2017-08-13,-116.8,51.3,2017,8,Summer,1140.0,0.009
2017-08-15,-121.6,55.7,2017,8,Summer,609.6,0.4
2017-08-15,-119.6,49.6,2017,8,Summer,454.2,0.4
2017-08-17,-125.3,52.5,2017,8,Summer,1096.0,0.009
2017-08-18,-125.1,49.4,2017,8,Summer,340.0,1.0
2017-08-18,-123.3,53.9,2017,8,Summer,858.0,0.0
2017-08-18,-122.4,53.2,2017,8,Summer,855.0,0.0
2017-08-18,-121.9,50.7,2017,8,Summer,390.0,0.05
2017-08-18,-121.1,49.6,2017,8,Summer,1230.0,0.0
2017-08-18,-120.8,50.6,2017,8,Summer,1204.0,0.0
2017-08-18,-119.6,49.6,2017,8,Summer,454.2,0.2
2017-08-19,-121.9,55.6,2017,8,Summer,1113.0,0.0
2017-08-20,-115.7,50.5,2017,8,Summer,1100.0,0.009
2017-08-21,-120.5,49.4,2017,8,Summer,855.0,0.009
2017-08-21,-117.9,51.9,2017,8,Summer,770.0,213.0
2017-08-23,-125.4,54.2,2017,8,Summer,679.0,0.0
2017-08-23,-122.7,53.8,2017,8,Summer,582.75,0.0
2017-08-23,-121.2,51.5,2017,8,Summer,1158.0,0.0
2017-08-23,-120.2,52.3,2017,8,Summer,975.0,1.5
2017-08-23,-118.8,50.7,2017,8,Summer,751.0,0.45
2017-08-24,-122.1,52.1,2017,8,Summer,578.0,0.009
2017-08-24,-119.6,50.8,2017,8,Summer,640.0,0.009
2017-08-24,-119.0,50.9,2017,8,Summer,1050.0,0.06
2017-08-25,-126.4,50.3,2017,8,Summer,436.0,0.0
2017-08-26,-117.0,51.3,2017,8,Summer,778.95,0.009
2017-08-28,-121.5,50.1,2017,8,Summer,350.0,0.0
2017-08-29,-121.4,49.4,2017,8,Summer,236.0,0.1
2017-08-29,-120.5,50.7,2017,8,Summer,780.0,0.009
2017-08-29,-117.0,51.3,2017,8,Summer,778.95,0.05
2017-08-30,-124.1,48.8,2017,8,Summer,190.5,0.0
2017-08-30,-116.1,50.5,2017,8,Summer,894.0,1.0
2017-08-30,-115.1,49.5,2017,8,Summer,1000.5,0.02
2017-08-31,-117.0,50.6,2017,8,Summer,590.0,0.009
2017-08-31,-116.0,50.8,2017,8,Summer,1132.0,0.0
2017-09-01,-123.5,49.5,2017,9,Fall,3.0,0.009
2017-09-01,-123.1,55.3,2017,9,Fall,690.0,0.009
2017-09-01,-120.7,50.1,2017,9,Fall,640.0,0.0
2017-09-01,-119.6,49.5,2017,9,Fall,427.0,4.0
2017-09-02,-124.8,49.2,2017,9,Fall,163.0,0.0
2017-09-02,-123.6,48.6,2017,9,Fall,138.0,0.0
2017-09-02,-122.4,52.9,2017,9,Fall,659.0,0.009
2017-09-03,-121.4,49.4,2017,9,Fall,236.0,0.0
2017-09-03,-120.9,49.1,2017,9,Fall,1340.0,0.0
2017-09-04,-123.5,49.4,2017,9,Fall,34.0,0.0
2017-09-05,-119.0,50.9,2017,9,Fall,1050.0,0.009
2017-09-07,-125.7,56.4,2017,9,Fall,1005.0,0.009
2017-09-07,-123.3,52.1,2017,9,Fall,791.0,0.009
2017-09-08,-122.1,52.1,2017,9,Fall,578.0,0.0
2017-09-08,-118.8,50.9,2017,9,Fall,335.0,0.0
2017-09-08,-118.2,51.1,2017,9,Fall,680.0,0.009
2017-09-08,-117.4,51.5,2017,9,Fall,1053.0,0.01
2017-09-08,-116.3,50.4,2017,9,Fall,2380.0,1.25
2017-09-09,-122.7,53.9,2017,9,Fall,588.0,0.0
2017-09-09,-118.4,50.9,2017,9,Fall,1165.0,0.8
2017-09-09,-118.2,51.1,2017,9,Fall,680.0,0.002
2017-09-09,-117.8,51.2,2017,9,Fall,1540.0,0.04
2017-09-11,-124.6,49.4,2017,9,Fall,61.3,0.009
2017-09-11,-121.5,49.4,2017,9,Fall,162.0,1.5
2017-09-11,-121.4,49.4,2017,9,Fall,236.0,0.0
2017-09-11,-119.6,49.6,2017,9,Fall,454.2,0.009
2017-09-13,-124.4,49.8,2017,9,Fall,100.0,0.1
2017-09-13,-124.0,49.2,2017,9,Fall,114.0,0.0
2017-09-13,-123.1,50.1,2017,9,Fall,688.0,0.0
2017-09-14,-124.3,54.4,2017,9,Fall,717.9,0.0
2017-09-16,-121.6,49.1,2017,9,Fall,247.0,0.0
2017-09-17,-122.4,49.6,2017,9,Fall,930.0,0.0
2017-09-17,-121.6,49.1,2017,9,Fall,247.0,0.0
2017-09-18,-122.5,53.0,2017,9,Fall,494.0,0.009
2017-09-18,-119.7,49.8,2017,9,Fall,345.0,0.009
2017-09-19,-122.5,53.0,2017,9,Fall,494.0,0.1
2017-09-21,-120.7,50.1,2017,9,Fall,640.0,0.009
2017-09-23,-127.7,50.5,2017,9,Fall,2.5,0.009
2017-09-23,-117.7,49.3,2017,9,Fall,449.0,0.1
2017-09-24,-122.2,50.8,2017,9,Fall,1850.0,0.009
2017-09-25,-120.4,50.6,2017,9,Fall,857.0,0.009
2017-09-26,-120.1,51.1,2017,9,Fall,390.0,0.0
2017-09-26,-118.8,50.9,2017,9,Fall,335.0,0.0
2017-09-27,-124.0,54.1,2017,9,Fall,678.0,0.009
2017-09-27,-122.6,53.4,2017,9,Fall,615.0,0.0
2017-09-27,-119.2,52.7,2017,9,Fall,2210.0,0.0
2017-09-28,-120.9,53.6,2017,9,Fall,866.0,0.0
2017-10-01,-117.8,49.3,2017,10,Fall,435.0,1.5
2017-10-02,-119.7,49.8,2017,10,Fall,345.0,6.0
2017-10-02,-115.7,49.9,2017,10,Fall,853.0,0.01
2017-10-04,-127.6,55.4,2017,10,Fall,335.0,0.009
2017-10-05,-123.0,55.0,2017,10,Fall,675.0,0.009
2017-10-08,-121.4,49.4,2017,10,Fall,236.0,0.0
2017-10-11,-122.9,54.9,2017,10,Fall,710.0,0.009
2017-10-14,-121.4,58.8,2017,10,Fall,584.0,0.2
2017-10-15,-119.7,49.8,2017,10,Fall,345.0,0.009
2017-10-16,-124.6,50.1,2017,10,Fall,91.0,0.009
2017-10-20,-123.9,49.0,2017,10,Fall,100.0,0.009
2017-10-24,-126.4,50.4,2017,10,Fall,510.0,0.009
2017-10-29,-119.7,49.8,2017,10,Fall,345.0,0.009
2017-10-30,-125.1,49.6,2017,10,Fall,137.5,0.0
2017-11-06,-123.4,50.6,2017,11,Fall,545.0,0.9
2017-11-09,-117.8,49.3,2017,11,Fall,435.0,0.5
2018-04-06,-115.6,49.6,2018,4,Spring,770.0,0.009
2018-04-11,-119.6,49.5,2018,4,Spring,427.0,6.0
2018-04-23,-117.0,50.2,2018,4,Spring,822.8,1.4
2018-04-25,-121.4,49.4,2018,4,Spring,236.0,0.8
2018-04-26,-121.5,49.4,2018,4,Spring,162.0,0.0
2018-04-28,-117.0,51.3,2018,4,Spring,778.95,0.009
2018-04-30,-119.3,52.9,2018,4,Spring,792.5,0.5
2018-05-01,-122.7,53.9,2018,5,Spring,588.0,1.0
2018-05-04,-117.7,49.1,2018,5,Spring,513.0,0.218
2018-05-06,-121.6,55.7,2018,5,Spring,609.6,30.0
2018-05-07,-120.8,50.1,2018,5,Spring,606.0,7.8
2018-05-08,-115.5,49.5,2018,5,Spring,856.0,0.0
2018-05-09,-121.4,50.4,2018,5,Spring,383.0,0.018
2018-05-10,-121.4,49.7,2018,5,Spring,630.0,1.2
2018-05-11,-127.4,55.1,2018,5,Spring,385.101,0.8
2018-05-11,-120.7,56.2,2018,5,Spring,480.0,0.0
2018-05-12,-127.1,54.7,2018,5,Spring,510.0,0.009
2018-05-12,-117.7,49.1,2018,5,Spring,513.0,2.56
2018-05-13,-123.5,49.4,2018,5,Spring,34.0,0.018
2018-05-13,-121.9,50.7,2018,5,Spring,390.0,0.018
2018-05-13,-121.6,55.7,2018,5,Spring,609.6,1.7
2018-05-14,-123.2,49.5,2018,5,Spring,1280.0,1.8
2018-05-14,-122.7,53.8,2018,5,Spring,582.75,0.009
2018-05-14,-120.7,56.2,2018,5,Spring,480.0,0.0
2018-05-14,-120.2,50.6,2018,5,Spring,640.0,1.8
2018-05-15,-127.1,54.7,2018,5,Spring,510.0,0.009
2018-05-15,-120.5,55.9,2018,5,Spring,696.0,0.009
2018-05-16,-120.5,55.9,2018,5,Spring,696.0,0.009
2018-05-17,-121.2,49.6,2018,5,Spring,1685.0,0.0
2018-05-19,-126.6,54.4,2018,5,Spring,601.0,0.0
2018-05-19,-123.8,54.2,2018,5,Spring,850.0,630.0
2018-05-19,-120.6,49.5,2018,5,Spring,830.0,0.009
2018-05-20,-123.6,48.6,2018,5,Spring,138.0,0.0
2018-05-20,-122.5,52.0,2018,5,Spring,884.0,0.018
2018-05-20,-118.5,50.4,2018,5,Spring,675.0,0.009
2018-05-20,-115.1,49.5,2018,5,Spring,1000.0,0.009
2018-05-21,-123.4,50.2,2018,5,Spring,1340.0,0.0
2018-05-21,-123.3,50.1,2018,5,Spring,1592.0,0.0
2018-05-21,-121.6,49.2,2018,5,Spring,1400.0,0.0
2018-05-21,-119.3,50.2,2018,5,Spring,570.0,0.009
2018-05-22,-124.8,49.3,2018,5,Spring,21.0,0.6
2018-05-24,-122.1,52.1,2018,5,Spring,578.0,1.0
2018-05-25,-124.2,55.6,2018,5,Spring,1047.0,0.0
2018-05-25,-122.8,54.0,2018,5,Spring,750.0,0.009
2018-05-25,-120.9,56.2,2018,5,Spring,704.0227381920964,0.0
2018-05-25,-119.2,53.0,2018,5,Spring,944.0,0.0
2018-05-26,-123.1,49.8,2018,5,Spring,320.0,0.0
2018-05-26,-122.7,53.9,2018,5,Spring,588.0,0.0
2018-05-28,-127.1,54.7,2018,5,Spring,510.0,0.009
2018-05-28,-123.2,49.7,2018,5,Spring,6.0,0.024
2018-05-29,-125.8,49.1,2018,5,Spring,24.45,0.0
2018-05-31,-127.1,54.7,2018,5,Spring,510.0,0.0
2018-06-02,-121.6,49.1,2018,6,Summer,247.0,0.0
